sex,year,agecat_1,loc,deaths,PYO,births,y_bloc
f,2003,15,Banda ra salam,0,739.08,146,2003-06
f,2003,0.0767,Banda ra salam,9,118.95,146,2003-06
f,2003,45,Banda ra salam,1,337.54,146,2003-06
f,2003,35,Banda ra salam,4,385.44,146,2003-06
f,2003,5,Banda ra salam,0,1349.51,146,2003-06
f,2003,75,Banda ra salam,3,45.74,146,2003-06
f,2003,55,Banda ra salam,1,235.79,146,2003-06
f,2003,25,Banda ra salam,6,564.82,146,2003-06
f,2003,65,Banda ra salam,7,118.16,146,2003-06
f,2003,1,Banda ra salam,5,655.42,146,2003-06
f,2003,0,Banda ra salam,0,11.26,146,2003-06
f,2003,0,Chasimba,5,20.83,278,2003-06
f,2003,25,Chasimba,12,1073.9,278,2003-06
f,2003,5,Chasimba,3,2565.75,278,2003-06
f,2003,0.0767,Chasimba,2,269.09,278,2003-06
f,2003,15,Chasimba,2,1517.86,278,2003-06
f,2003,35,Chasimba,6,749.71,278,2003-06
f,2003,45,Chasimba,4,625.41,278,2003-06
f,2003,75,Chasimba,5,82.64,278,2003-06
f,2003,65,Chasimba,11,215,278,2003-06
f,2003,1,Chasimba,7,1246.61,278,2003-06
f,2003,55,Chasimba,7,424.62,278,2003-06
f,2003,55,Gede,3,103.29,103,2003-06
f,2003,5,Gede,0,804.12,103,2003-06
f,2003,35,Gede,2,242.88,103,2003-06
f,2003,25,Gede,3,286.66,103,2003-06
f,2003,75,Gede,1,24.37,103,2003-06
f,2003,1,Gede,3,373.93,103,2003-06
f,2003,65,Gede,2,54.99,103,2003-06
f,2003,45,Gede,3,185.15,103,2003-06
f,2003,0.0767,Gede,1,81.9,103,2003-06
f,2003,0,Gede,2,8.29,103,2003-06
f,2003,15,Gede,1,532.97,103,2003-06
f,2003,1,Jaribuni,9,312.03,77,2003-06
f,2003,5,Jaribuni,1,631.46,77,2003-06
f,2003,45,Jaribuni,2,105.12,77,2003-06
f,2003,35,Jaribuni,5,224.5,77,2003-06
f,2003,15,Jaribuni,1,361.65,77,2003-06
f,2003,65,Jaribuni,1,64.3,77,2003-06
f,2003,25,Jaribuni,2,248.06,77,2003-06
f,2003,55,Jaribuni,1,89.84,77,2003-06
f,2003,75,Jaribuni,0,28.54,77,2003-06
f,2003,0.0767,Jaribuni,4,66.96,77,2003-06
f,2003,0,Jaribuni,0,5.78,77,2003-06
f,2003,35,Junju,15,1010.51,376,2003-06
f,2003,55,Junju,6,466.68,376,2003-06
f,2003,15,Junju,17,2143.79,376,2003-06
f,2003,45,Junju,6,775.88,376,2003-06
f,2003,65,Junju,13,212.72,376,2003-06
f,2003,1,Junju,16,1592.39,376,2003-06
f,2003,5,Junju,8,3479.22,376,2003-06
f,2003,25,Junju,13,1507.46,376,2003-06
f,2003,0,Junju,6,28.47,376,2003-06
f,2003,75,Junju,5,64.74,376,2003-06
f,2003,0.0767,Junju,10,374.7,376,2003-06
f,2003,5,Kauma,4,1103.12,143,2003-06
f,2003,45,Kauma,4,236.48,143,2003-06
f,2003,55,Kauma,3,191.23,143,2003-06
f,2003,0,Kauma,1,10.24,143,2003-06
f,2003,65,Kauma,4,101.22,143,2003-06
f,2003,25,Kauma,1,497.59,143,2003-06
f,2003,15,Kauma,0,695.58,143,2003-06
f,2003,0.0767,Kauma,2,121.98,143,2003-06
f,2003,1,Kauma,6,587.47,143,2003-06
f,2003,35,Kauma,1,369.34,143,2003-06
f,2003,75,Kauma,2,37.92,143,2003-06
f,2003,65,Kilifi township,6,197.19,524,2003-06
f,2003,5,Kilifi township,3,4369.44,524,2003-06
f,2003,45,Kilifi township,12,918.62,524,2003-06
f,2003,25,Kilifi township,27,2839.79,524,2003-06
f,2003,0.0767,Kilifi township,13,473.13,524,2003-06
f,2003,55,Kilifi township,6,475.37,524,2003-06
f,2003,0,Kilifi township,16,39.85,524,2003-06
f,2003,15,Kilifi township,14,3190.98,524,2003-06
f,2003,35,Kilifi township,18,1628.76,524,2003-06
f,2003,1,Kilifi township,19,2191.82,524,2003-06
f,2003,75,Kilifi township,3,73.41,524,2003-06
f,2003,75,Matsangoni,4,48.91,177,2003-06
f,2003,15,Matsangoni,1,1043.94,177,2003-06
f,2003,35,Matsangoni,2,472.52,177,2003-06
f,2003,0,Matsangoni,1,13.87,177,2003-06
f,2003,45,Matsangoni,3,339.98,177,2003-06
f,2003,0.0767,Matsangoni,5,189.31,177,2003-06
f,2003,25,Matsangoni,5,710.74,177,2003-06
f,2003,65,Matsangoni,8,129.07,177,2003-06
f,2003,1,Matsangoni,3,860.27,177,2003-06
f,2003,5,Matsangoni,3,1787.73,177,2003-06
f,2003,55,Matsangoni,5,281.06,177,2003-06
f,2003,65,Mtwapa,2,81.18,141,2003-06
f,2003,35,Mtwapa,2,398.41,141,2003-06
f,2003,75,Mtwapa,5,33.41,141,2003-06
f,2003,45,Mtwapa,3,281.15,141,2003-06
f,2003,1,Mtwapa,4,641.06,141,2003-06
f,2003,15,Mtwapa,2,866.08,141,2003-06
f,2003,5,Mtwapa,2,1345.14,141,2003-06
f,2003,0.0767,Mtwapa,3,129.85,141,2003-06
f,2003,55,Mtwapa,2,172.77,141,2003-06
f,2003,0,Mtwapa,3,10.24,141,2003-06
f,2003,25,Mtwapa,4,666.97,141,2003-06
f,2003,75,Ngerenya,4,63.63,218,2003-06
f,2003,35,Ngerenya,5,534.33,218,2003-06
f,2003,0.0767,Ngerenya,1,212.37,218,2003-06
f,2003,0,Ngerenya,3,16.8,218,2003-06
f,2003,25,Ngerenya,8,785.51,218,2003-06
f,2003,5,Ngerenya,1,1922.01,218,2003-06
f,2003,55,Ngerenya,6,323.63,218,2003-06
f,2003,65,Ngerenya,3,158.29,218,2003-06
f,2003,15,Ngerenya,0,1235.19,218,2003-06
f,2003,45,Ngerenya,8,395.9,218,2003-06
f,2003,1,Ngerenya,4,904.07,218,2003-06
f,2003,0,Roka,4,16.57,215,2003-06
f,2003,55,Roka,7,320.65,215,2003-06
f,2003,25,Roka,3,835.65,215,2003-06
f,2003,15,Roka,2,1170.73,215,2003-06
f,2003,65,Roka,6,153.78,215,2003-06
f,2003,1,Roka,3,999.63,215,2003-06
f,2003,75,Roka,5,70.68,215,2003-06
f,2003,5,Roka,1,1995.66,215,2003-06
