agecat_1,month_1,deaths,PYO,year,month,y_bloc
0,0,5,32.2,2003,1,2003-06
0,1,12,39.22,2003,2,2003-06
0,2,6,45.85,2003,3,2003-06
0,3,14,50.51,2003,4,2003-06
0,4,10,46.38,2003,5,2003-06
0,5,10,47.9,2003,6,2003-06
0,6,9,51.02,2003,7,2003-06
0,7,16,45.42,2003,8,2003-06
0,8,6,47.66,2003,9,2003-06
0,9,7,42.74,2003,10,2003-06
0,10,13,38.91,2003,11,2003-06
0,11,15,39.78,2003,12,2003-06
0,12,14,39.61,2004,1,2003-06
0,13,12,41.4,2004,2,2003-06
0,14,29,49.88,2004,3,2003-06
0,15,27,55.44,2004,4,2003-06
0,16,34,55.86,2004,5,2003-06
0,17,21,56.08,2004,6,2003-06
0,18,12,52.03,2004,7,2003-06
0,19,12,47.93,2004,8,2003-06
0,20,21,47.24,2004,9,2003-06
0,21,20,46.71,2004,10,2003-06
0,22,11,40.72,2004,11,2003-06
0,23,19,37.52,2004,12,2003-06
0,24,13,33.39,2005,1,2003-06
0,25,18,39.22,2005,2,2003-06
0,26,30,48.51,2005,3,2003-06
0,27,26,53.13,2005,4,2003-06
0,28,17,59.65,2005,5,2003-06
0,29,18,56.14,2005,6,2003-06
0,30,15,53.03,2005,7,2003-06
0,31,25,51.42,2005,8,2003-06
0,32,22,51.07,2005,9,2003-06
0,33,14,52.83,2005,10,2003-06
0,34,9,50.44,2005,11,2003-06
0,35,16,47.34,2005,12,2003-06
0,36,17,44.36,2006,1,2003-06
0,37,24,46.82,2006,2,2003-06
0,38,19,57.78,2006,3,2003-06
0,39,16,63.44,2006,4,2003-06
0,40,23,62.3,2006,5,2003-06
0,41,15,55.87,2006,6,2003-06
0,42,10,52.42,2006,7,2003-06
0,43,15,53.62,2006,8,2003-06
0,44,9,49.9,2006,9,2003-06
0,45,11,51.21,2006,10,2003-06
0,46,8,44.13,2006,11,2003-06
0,47,19,38.11,2006,12,2003-06
0,48,16,40.51,2007,1,2007-10
0,49,23,42.6,2007,2,2007-10
0,50,11,49.16,2007,3,2007-10
0,51,19,57.92,2007,4,2007-10
0,52,11,58.45,2007,5,2007-10
0,53,6,52.3,2007,6,2007-10
0,54,12,55.08,2007,7,2007-10
0,55,13,52.94,2007,8,2007-10
0,56,8,51.91,2007,9,2007-10
0,57,4,46.87,2007,10,2007-10
0,58,5,41.5,2007,11,2007-10
0,59,6,37.99,2007,12,2007-10
0,60,3,37.44,2008,1,2007-10
0,61,12,41.53,2008,2,2007-10
0,62,24,51.12,2008,3,2007-10
0,63,8,59.43,2008,4,2007-10
0,64,8,60.93,2008,5,2007-10
0,65,9,54.59,2008,6,2007-10
0,66,16,53.38,2008,7,2007-10
0,67,7,52.22,2008,8,2007-10
0,68,5,50.66,2008,9,2007-10
0,69,16,50.88,2008,10,2007-10
0,70,9,44.43,2008,11,2007-10
0,71,2,40.56,2008,12,2007-10
0,72,11,40.21,2009,1,2007-10
0,73,18,51.32,2009,2,2007-10
0,74,13,58.68,2009,3,2007-10
0,75,15,66.39,2009,4,2007-10
0,76,14,56.26,2009,5,2007-10
0,77,10,51.97,2009,6,2007-10
0,78,4,53.73,2009,7,2007-10
0,79,8,49.71,2009,8,2007-10
0,80,6,47.81,2009,9,2007-10
0,81,11,48.68,2009,10,2007-10
