sex,agegrp,month_2,y_bloc,locn,_D,_Y,_Rate,_Lower,_Upper
f,0,1,2003-06,Banda ra salam,2,2.70E+02,0.0073933,0.001849,0.0295615
f,0,1,2007-10,Banda ra salam,2,3.00E+02,0.0065632,0.0016414,0.0262426
f,0,1,2011-14,Banda ra salam,1,3.00E+02,0.0033387,0.0004703,0.0237015
f,0,1,2015-18,Banda ra salam,5,2.40E+02,0.0206993,0.0086156,0.0497306
f,0,2,2003-06,Banda ra salam,3,2.70E+02,0.011097,0.003579,0.034407
f,0,2,2007-10,Banda ra salam,2,3.00E+02,0.0065926,0.0016488,0.0263601
f,0,2,2011-14,Banda ra salam,0,2.90E+02,0.00E+00,,
f,0,2,2015-18,Banda ra salam,0,2.40E+02,0.00E+00,,
f,0,3,2003-06,Banda ra salam,3,2.70E+02,0.0110228,0.0035551,0.0341768
f,0,3,2007-10,Banda ra salam,1,3.00E+02,0.0033055,0.0004656,0.023466
f,0,3,2011-14,Banda ra salam,6,2.90E+02,0.0204288,0.0091779,0.0454721
f,0,3,2015-18,Banda ra salam,1,2.40E+02,0.0040859,0.0005756,0.0290061
f,0,4,2003-06,Banda ra salam,0,2.70E+02,0.00E+00,,
f,0,4,2007-10,Banda ra salam,3,3.00E+02,0.0099312,0.003203,0.0307923
f,0,4,2011-14,Banda ra salam,1,3.00E+02,0.003346,0.0004713,0.0237537
f,0,4,2015-18,Banda ra salam,1,2.40E+02,0.0041126,0.0005793,0.0291954
f,0,5,2003-06,Banda ra salam,6,2.70E+02,0.0222058,0.0099762,0.0494275
f,0,5,2007-10,Banda ra salam,1,3.00E+02,0.0033082,0.000466,0.0234849
f,0,5,2011-14,Banda ra salam,1,3.00E+02,0.0033615,0.0004735,0.0238637
f,0,5,2015-18,Banda ra salam,1,2.40E+02,0.0040887,0.0005759,0.0290257
f,0,6,2003-06,Banda ra salam,4,2.70E+02,0.0146197,0.005487,0.0389529
f,0,6,2007-10,Banda ra salam,3,3.00E+02,0.0099577,0.0032116,0.0308745
f,0,6,2011-14,Banda ra salam,1,3.00E+02,0.0033861,0.000477,0.0240378
f,0,6,2015-18,Banda ra salam,0,2.40E+02,0.00E+00,,
f,0,7,2003-06,Banda ra salam,3,2.80E+02,0.0108442,0.0034975,0.0336231
f,0,7,2007-10,Banda ra salam,3,3.00E+02,0.0098966,0.0031919,0.0306851
f,0,7,2011-14,Banda ra salam,4,3.00E+02,0.0135438,0.0050832,0.0360862
f,0,7,2015-18,Banda ra salam,1,2.40E+02,0.0041251,0.0005811,0.029284
f,0,8,2003-06,Banda ra salam,5,2.70E+02,0.01822,0.0075837,0.043774
f,0,8,2007-10,Banda ra salam,1,3.10E+02,0.0032264,0.0004545,0.0229042
f,0,8,2011-14,Banda ra salam,3,3.00E+02,0.0101525,0.0032744,0.0314785
f,0,8,2015-18,Banda ra salam,1,2.40E+02,0.0041794,0.0005887,0.0296702
f,0,9,2003-06,Banda ra salam,6,2.70E+02,0.0219575,0.0098646,0.0488747
f,0,9,2007-10,Banda ra salam,3,3.10E+02,0.0096227,0.0031035,0.0298359
f,0,9,2011-14,Banda ra salam,3,2.90E+02,0.0102511,0.0033062,0.0317842
f,0,9,2015-18,Banda ra salam,0,2.40E+02,0.00E+00,,
f,0,10,2003-06,Banda ra salam,5,2.80E+02,0.0180534,0.0075143,0.0433738
f,0,10,2007-10,Banda ra salam,1,3.10E+02,0.0032059,0.0004516,0.0227592
f,0,10,2011-14,Banda ra salam,0,2.90E+02,0.00E+00,,
f,0,10,2015-18,Banda ra salam,1,2.40E+02,0.004175,0.0005881,0.0296387
f,0,11,2003-06,Banda ra salam,1,2.80E+02,0.0035733,0.0005033,0.0253669
f,0,11,2007-10,Banda ra salam,2,3.10E+02,0.0063869,0.0015974,0.0255378
f,0,11,2011-14,Banda ra salam,1,2.90E+02,0.0034461,0.0004854,0.0244645
f,0,11,2015-18,Banda ra salam,0,2.40E+02,0.00E+00,,
f,0,12,2003-06,Banda ra salam,1,2.80E+02,0.0035493,0.0005,0.0251969
f,0,12,2007-10,Banda ra salam,1,3.20E+02,0.0031697,0.0004465,0.0225021
f,0,12,2011-14,Banda ra salam,0,2.90E+02,0.00E+00,,
f,0,12,2015-18,Banda ra salam,2,2.30E+02,0.0086069,0.0021526,0.0344141
f,0,1,2003-06,Chasimba,11,5.30E+02,0.0209514,0.0116029,0.0378321
f,0,1,2007-10,Chasimba,2,5.30E+02,0.0037959,0.0009493,0.0151775
f,0,1,2011-14,Chasimba,1,5.30E+02,0.0018772,0.0002644,0.0133266
f,0,1,2015-18,Chasimba,1,4.70E+02,0.002126,0.0002995,0.0150926
f,0,2,2003-06,Chasimba,5,5.30E+02,0.0094518,0.0039341,0.0227081
f,0,2,2007-10,Chasimba,5,5.20E+02,0.0095651,0.0039813,0.0229805
f,0,2,2011-14,Chasimba,0,5.30E+02,0.00E+00,,
f,0,2,2015-18,Chasimba,4,4.70E+02,0.008497,0.0031891,0.0226395
f,0,3,2003-06,Chasimba,7,5.30E+02,0.0132619,0.0063224,0.0278183
f,0,3,2007-10,Chasimba,1,5.20E+02,0.0019267,0.0002714,0.013678
f,0,3,2011-14,Chasimba,5,5.40E+02,0.0093372,0.0038864,0.0224328
f,0,3,2015-18,Chasimba,4,4.70E+02,0.0084728,0.00318,0.022575
f,0,4,2003-06,Chasimba,7,5.20E+02,0.0133827,0.00638,0.0280717
f,0,4,2007-10,Chasimba,3,5.20E+02,0.0057716,0.0018615,0.0178953
f,0,4,2011-14,Chasimba,7,5.40E+02,0.0129614,0.0061791,0.0271878
f,0,4,2015-18,Chasimba,4,4.70E+02,0.0084306,0.0031641,0.0224625
f,0,5,2003-06,Chasimba,4,5.20E+02,0.0076864,0.0028848,0.0204796
f,0,5,2007-10,Chasimba,6,5.20E+02,0.0116128,0.0052172,0.0258487
f,0,5,2011-14,Chasimba,6,5.30E+02,0.0112435,0.0050513,0.0250266
f,0,5,2015-18,Chasimba,2,4.70E+02,0.0042153,0.0010542,0.0168548
f,0,6,2003-06,Chasimba,10,5.30E+02,0.0189067,0.0101728,0.0351389
f,0,6,2007-10,Chasimba,5,5.20E+02,0.0096915,0.0040339,0.0232842
f,0,6,2011-14,Chasimba,5,5.30E+02,0.0094309,0.0039254,0.022658
f,0,6,2015-18,Chasimba,2,4.70E+02,0.0042377,0.0010598,0.0169442
f,0,7,2003-06,Chasimba,1,5.30E+02,0.0018719,0.0002637,0.013289
f,0,7,2007-10,Chasimba,6,5.20E+02,0.0114418,0.0051404,0.0254682
f,0,7,2011-14,Chasimba,5,5.30E+02,0.0093806,0.0039045,0.0225371
f,0,7,2015-18,Chasimba,3,4.70E+02,0.0063957,0.0020628,0.0198303
f,0,8,2003-06,Chasimba,4,5.30E+02,0.0074949,0.002813,0.0199694
f,0,8,2007-10,Chasimba,6,5.30E+02,0.0112507,0.0050545,0.0250426
f,0,8,2011-14,Chasimba,4,5.30E+02,0.0074772,0.0028063,0.0199224
f,0,8,2015-18,Chasimba,2,4.60E+02,0.0043037,0.0010764,0.0172082
